ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason
MAS,2016-05-27,2016-06-27,27.946,25.7103,447.2915,-1000.0,-1.0,31,STOP
MLM,2016-05-27,2016-08-17,177.4936,177.4936,70.4251,0.0,0.0,82,STOP
DLTR,2016-07-26,2016-08-25,96.45,88.734,131.2705,-1012.88,-1.0,30,STOP
VMC,2016-05-27,2016-09-09,109.5974,100.8296,114.0538,-1000.0,-1.0,105,STOP
RGEN,2016-09-15,2016-09-29,32.54,29.9368,393.464,-1024.27,-1.0,14,STOP
BSX,2016-06-15,2016-10-06,23.02,23.48,531.6795,244.57,0.25,113,F4_FAIL
STX,2016-09-30,2016-10-11,25.5291,23.4868,499.4919,-1020.13,-1.0,11,STOP
LH,2016-06-03,2016-10-13,106.2345,111.6375,116.8591,631.39,0.636,132,F4_FAIL
DKS,2016-09-16,2016-10-13,46.2595,42.5587,280.0907,-1036.55,-1.0,27,STOP
KMT,2016-10-24,2016-10-27,23.2419,21.3826,525.4517,-977.0,-1.0,3,STOP
INDV,2016-07-27,2016-11-01,18.0,19.2,706.3978,847.68,0.833,97,F4_FAIL
YELP,2016-07-05,2016-11-08,30.33,37.99,409.2954,3135.2,3.157,126,F4_FAIL
HAFC,2017-01-03,2017-01-31,24.1121,22.1831,525.0811,-1012.87,-1.0,28,STOP
JBTM,2017-01-03,2017-02-22,84.1319,81.862,150.4877,-341.59,-0.337,50,F4_FAIL
POWI,2016-08-25,2017-02-28,26.449,28.8813,494.1528,1201.91,1.15,187,F4_FAIL
THO,2017-02-08,2017-03-07,89.2984,89.2984,143.2842,0.0,0.0,27,STOP
WST,2017-01-09,2017-03-13,84.0094,79.3994,150.0403,-691.69,-0.686,63,F4_FAIL
HALO,2017-03-22,2017-03-30,13.6,13.6,940.1254,0.0,0.0,8,STOP
BANC,2017-03-16,2017-05-03,17.0263,17.0263,759.1915,0.0,0.0,48,STOP
PFG,2016-10-27,2017-06-01,37.3522,45.9343,325.9441,2797.29,2.872,217,F4_FAIL
RH,2017-05-04,2017-06-02,51.72,51.72,260.1792,0.0,0.0,29,STOP
