rr_min,stop_strategy,ma_partial,ma_full,cagr,sharpe,sortino,mdd,calmar,trades,win_rate,avg_r,profit_factor,total_ret
4.0,none,5,30,5.8,1.031,0.839,7.92,0.732,175,50.86,2.539,3.337,124.52
4.0,none,10,30,5.94,0.991,0.787,9.16,0.649,174,51.15,2.765,3.283,128.86
4.0,gradual,5,30,5.44,0.969,0.721,7.91,0.688,174,41.95,2.629,3.226,113.81
4.0,none,5,50,6.08,0.945,0.887,9.2,0.661,172,50.0,2.65,3.226,133.12
4.0,none,30,50,8.72,0.939,0.845,11.77,0.741,163,43.56,4.251,3.807,231.81
4.0,none,20,30,6.76,0.939,0.722,9.9,0.683,164,45.73,3.19,3.366,155.5
2.5,none,20,60,11.87,0.924,1.051,19.14,0.62,476,41.81,1.705,1.849,399.32
4.0,gradual,5,50,5.76,0.923,0.777,8.25,0.698,172,38.37,2.678,3.472,123.27
4.0,none,10,50,6.22,0.923,0.843,10.43,0.596,171,49.71,2.864,3.177,137.47
2.5,none,5,30,7.91,0.922,1.057,15.41,0.513,553,49.91,1.175,1.623,197.87
4.0,gradual,10,30,5.26,0.919,0.684,9.01,0.584,171,42.11,2.653,3.128,108.48
4.0,none,30,60,8.73,0.917,0.867,12.98,0.672,165,42.42,4.133,3.529,232.03
4.5,none,10,30,4.81,0.917,0.631,8.29,0.58,109,47.71,3.809,4.018,96.2
4.0,none,5,20,4.0,0.903,0.66,7.61,0.525,181,50.83,1.614,2.556,75.46
2.5,none,20,30,10.07,0.902,0.971,18.3,0.55,513,44.25,1.424,1.681,295.76
3.0,none,5,30,6.5,0.901,0.92,20.1,0.324,387,48.84,1.412,1.824,146.82
3.0,none,5,20,5.58,0.899,0.902,14.83,0.376,402,49.25,1.058,1.741,117.79
4.0,none,20,50,7.05,0.895,0.798,11.72,0.601,167,43.71,3.095,3.277,165.52
5.0,none,10,30,4.35,0.895,0.576,8.29,0.524,83,51.81,4.765,5.519,84.14
4.0,gradual,30,50,7.87,0.893,0.733,10.66,0.739,149,32.89,4.437,4.234,196.51
4.5,none,5,30,4.3,0.891,0.626,6.99,0.616,109,46.79,3.311,3.806,82.98
2.5,gradual,5,50,8.43,0.888,0.999,19.73,0.427,550,39.45,1.257,1.719,219.16
2.5,none,5,60,9.38,0.883,1.033,19.13,0.49,487,47.84,1.414,1.787,261.59
4.0,gradual,10,50,5.57,0.881,0.737,9.28,0.601,169,39.05,2.699,3.368,117.69
2.5,gradual,5,30,7.37,0.881,0.964,15.62,0.472,567,42.33,1.175,1.616,177.28
2.5,gradual,5,20,6.75,0.877,0.946,14.89,0.453,588,44.56,0.945,1.565,155.2
4.5,none,20,30,5.45,0.876,0.572,9.92,0.549,104,43.27,4.306,4.053,113.92
3.0,none,5,50,8.05,0.876,0.911,22.7,0.355,375,46.4,1.537,1.986,203.66
3.5,none,5,30,5.19,0.872,0.782,7.99,0.649,248,44.35,1.81,2.117,106.57
5.0,none,5,30,3.83,0.868,0.574,5.62,0.681,84,52.38,4.052,5.385,71.4
4.0,gradual,20,30,5.9,0.867,0.626,9.99,0.591,159,36.48,3.044,3.35,127.59
4.0,direct,5,30,4.62,0.867,0.601,7.85,0.588,171,34.5,2.481,2.952,91.03
2.5,none,5,10,6.0,0.867,0.981,14.44,0.415,617,53.48,0.848,1.464,130.54
2.5,none,5,20,6.49,0.866,0.969,12.45,0.521,585,49.57,0.877,1.523,146.33
2.5,none,30,50,11.43,0.866,0.987,24.05,0.475,482,40.25,1.752,1.739,372.44
4.0,none,20,60,7.0,0.86,0.803,11.52,0.607,169,42.01,2.994,3.03,163.87
2.5,none,20,50,10.33,0.86,0.971,22.17,0.466,502,40.44,1.503,1.709,309.42
2.5,none,5,50,8.46,0.859,1.017,19.03,0.445,513,46.78,1.278,1.673,220.42
4.5,none,30,50,6.8,0.857,0.657,12.01,0.567,99,40.4,5.963,4.913,157.05
4.0,none,5,60,5.71,0.853,0.838,9.46,0.604,171,49.12,2.525,2.902,121.64
5.0,none,5,10,2.28,0.852,0.472,4.18,0.545,94,58.51,2.104,3.296,38.21
4.0,none,10,20,4.25,0.851,0.596,10.25,0.415,176,51.7,1.879,2.597,81.67
4.0,gradual,20,50,6.28,0.85,0.69,10.55,0.595,158,34.18,3.09,3.614,139.37
5.0,gradual,10,30,3.98,0.85,0.504,8.32,0.478,84,41.67,4.504,5.324,74.94
4.0,direct,30,50,6.87,0.847,0.639,10.64,0.645,149,26.17,4.129,3.951,159.26
4.5,gradual,10,30,4.21,0.847,0.534,8.32,0.506,108,37.96,3.596,3.779,80.62
4.0,gradual,30,60,7.52,0.845,0.709,10.44,0.72,150,31.33,4.147,4.046,182.81
2.5,none,30,60,11.22,0.845,0.985,20.47,0.548,465,41.29,1.742,1.779,359.79
4.5,direct,5,30,4.07,0.843,0.524,7.82,0.521,112,33.93,3.346,3.8,77.28
4.5,none,30,60,6.83,0.841,0.688,10.69,0.639,100,40.0,5.826,4.691,157.92
4.0,none,10,60,5.85,0.84,0.808,10.85,0.539,170,48.82,2.74,2.859,126.09
4.5,gradual,5,30,4.07,0.84,0.527,7.82,0.521,109,37.61,3.45,3.694,77.3
3.5,none,10,30,5.33,0.84,0.737,10.51,0.507,245,44.49,2.001,2.093,110.48
5.0,gradual,5,30,3.8,0.84,0.492,7.82,0.485,86,41.86,4.219,5.434,70.61
2.5,none,10,30,7.82,0.84,0.909,16.24,0.482,549,47.54,1.242,1.593,194.52
4.0,gradual,5,60,5.38,0.839,0.717,9.73,0.553,173,36.42,2.432,3.273,112.11
4.0,gradual,5,20,3.85,0.839,0.562,9.77,0.394,181,43.65,1.701,2.579,71.87
4.5,direct,10,30,4.13,0.838,0.522,8.32,0.496,111,33.33,3.452,3.831,78.59
2.5,gradual,5,60,8.07,0.836,0.946,20.04,0.403,539,38.59,1.226,1.702,204.34
