ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
LH,2016-06-03,2016-06-07,106.2345,106.0789,116.8591,-18.18,-0.018,4,F3_FAIL,UPTREND
MAS,2016-05-27,2016-06-27,27.946,25.7103,447.2915,-1000.0,-1.0,31,STOP,UPTREND
YELP,2016-07-05,2016-07-15,30.33,29.46,408.6227,-355.5,-0.359,10,F3_FAIL,UPTREND
VMC,2016-05-27,2016-08-05,109.5974,109.3951,114.0538,-23.07,-0.023,70,F3_FAIL,UPTREND
RNG,2016-08-04,2016-08-10,24.616,23.2584,510.6313,-693.22,-0.689,6,F3_FAIL,UPTREND
MLM,2016-05-27,2016-08-11,177.4936,184.6454,70.4251,503.67,0.504,76,F3_FAIL,UPTREND
DLTR,2016-07-26,2016-08-25,96.45,88.734,129.76,-1001.23,-1.0,30,STOP,UPTREND
DNOW,2016-08-24,2016-09-01,21.34,20.35,598.7816,-592.79,-0.58,8,F3_FAIL,UPTREND
AMWD,2016-09-01,2016-09-14,86.9,79.948,144.3705,-1003.66,-1.0,13,STOP,UPTREND
RGEN,2016-09-15,2016-09-23,32.54,32.11,378.6842,-162.83,-0.165,8,F3_FAIL,UPTREND
INDV,2016-07-27,2016-09-28,18.0,19.45,697.4014,1011.23,1.007,63,F3_FAIL,UPTREND
DKS,2016-09-16,2016-10-03,46.2595,42.9355,268.7527,-893.33,-0.898,17,F3_FAIL,UPTREND
BSX,2016-06-15,2016-10-04,23.02,23.28,532.6094,138.48,0.141,111,F3_FAIL,UPTREND
PYPL,2016-09-29,2016-10-10,40.6924,39.648,304.7966,-318.33,-0.321,11,F3_FAIL,UPTREND
STX,2016-09-16,2016-10-12,24.6773,23.7056,503.7975,-489.54,-0.492,26,F3_FAIL,UPTREND
KMT,2016-10-24,2016-10-27,23.2419,21.3826,522.6341,-971.76,-1.0,3,STOP,UPTREND
POWI,2016-08-24,2016-11-11,26.4172,29.5391,483.6996,1510.05,1.477,79,F3_FAIL,UPTREND
PFG,2016-10-27,2016-11-30,37.3522,40.459,324.9402,1009.53,1.04,34,F3_FAIL,UPTREND
HST,2017-01-05,2017-01-09,13.6604,12.8819,918.7323,-715.3,-0.712,4,F3_FAIL,UPTREND
WST,2017-01-09,2017-01-19,84.0094,81.1043,146.2513,-424.87,-0.432,10,F3_FAIL,UPTREND
HAFC,2017-01-03,2017-01-31,24.1121,22.1831,516.1297,-995.6,-1.0,28,STOP,UPTREND
JBTM,2017-01-03,2017-02-03,84.1319,84.6149,147.9222,71.44,0.072,31,F3_FAIL,UPTREND
THO,2017-02-08,2017-03-07,89.2984,89.2984,139.4568,0.0,0.0,27,STOP,UPTREND
BANC,2017-03-16,2017-03-23,17.0263,16.4167,757.7319,-461.86,-0.447,7,F3_FAIL,UPTREND
HALO,2017-03-22,2017-03-30,13.6,13.6,937.7517,0.0,0.0,8,STOP,UPTREND
HAS,2017-03-20,2017-04-19,73.5372,70.0812,175.6172,-606.93,-0.587,30,F3_FAIL,UPTREND
NDSN,2016-08-22,2017-05-26,83.504,109.2737,150.7269,3884.19,3.858,277,F3_FAIL,UPTREND
RH,2017-05-04,2017-06-02,51.72,51.72,256.5258,0.0,0.0,29,STOP,UPTREND
KLAC,2017-03-07,2017-06-16,78.5092,85.1931,165.5743,1106.68,1.064,101,F3_FAIL,UPTREND
GEO,2016-12-30,2017-06-22,15.7637,20.738,789.4078,3926.74,3.944,174,F3_FAIL,UPTREND
CTRE,2017-06-13,2017-06-29,12.1042,12.0511,1121.7782,-59.55,-0.055,16,F3_FAIL,UPTREND
CPRX,2017-06-21,2017-07-18,2.53,2.53,5284.933,0.0,0.0,27,STOP,UPTREND
UAL,2017-05-25,2017-07-20,79.18,72.8456,169.0978,-1071.13,-1.0,56,STOP,UPTREND
ITGR,2017-07-20,2017-07-28,44.95,41.354,298.0594,-1071.82,-1.0,8,STOP,UPTREND
WDAY,2017-07-27,2017-08-04,105.66,101.17,125.9384,-565.46,-0.531,8,F3_FAIL,UPTREND
SCHW,2017-06-29,2017-08-17,39.0956,35.9679,350.0894,-1094.96,-1.0,49,STOP,UPTREND
MTB,2017-07-05,2017-08-21,127.0423,117.81,107.0819,-988.61,-0.908,47,F3_FAIL,UPTREND
BBY,2017-04-20,2017-09-26,36.4991,40.505,354.5732,1420.39,1.372,159,F4_FAIL,UPTREND
MRTN,2017-09-26,2017-10-13,10.5369,10.5369,1261.3959,0.0,0.0,17,STOP,UPTREND
APPF,2017-09-18,2017-10-26,44.75,44.75,299.8225,0.0,0.0,38,STOP,UPTREND
FORM,2017-09-18,2017-11-01,16.0,16.0,838.566,0.0,0.0,44,STOP,UPTREND
COHU,2017-10-27,2017-11-03,24.3702,22.4206,601.8656,-1173.41,-1.0,7,STOP,UPTREND
AZTA,2017-09-27,2017-11-09,27.1211,27.1211,489.1988,0.0,0.0,43,STOP,UPTREND
AEIS,2017-09-18,2017-11-29,74.3006,74.3006,180.578,0.0,0.0,72,STOP,UPTREND
ENTG,2017-10-16,2017-11-29,28.628,28.628,499.5003,0.0,0.0,44,STOP,UPTREND
PATK,2017-11-07,2017-12-21,35.5488,40.3607,424.2831,2041.59,1.692,44,F3_FAIL,UPTREND
KLIC,2017-11-02,2017-12-28,19.4617,21.0929,756.5338,1234.1,1.048,56,F3_FAIL,UPTREND
LNTH,2017-12-28,2017-12-29,22.3,20.516,644.0519,-1148.99,-1.0,1,STOP,UPTREND
INVA,2018-01-29,2018-02-02,15.43,14.39,989.7238,-1029.31,-0.843,4,F3_FAIL,UPTREND
AMP,2018-01-12,2018-02-05,153.28,141.0176,95.8811,-1175.73,-1.0,24,STOP,UPTREND
ALGN,2017-04-20,2018-04-13,117.5,261.72,110.1413,15884.58,15.343,358,F4_FAIL,UPTREND
TER,2017-09-29,2018-04-13,35.612,41.7563,382.0243,2347.29,2.157,196,F4_FAIL,UPTREND
NTNX,2018-04-23,2018-04-25,54.41,50.0572,266.8173,-1161.4,-1.0,2,STOP,UPTREND
HPE,2018-04-13,2018-05-02,13.7242,13.4185,1062.0231,-324.64,-0.278,19,F3_FAIL,UPTREND
YUM,2018-03-28,2018-05-04,72.5439,71.2219,198.7507,-262.74,-0.228,37,F3_FAIL,UPTREND
SUPN,2018-04-20,2018-05-08,48.7,44.804,298.577,-1163.26,-1.0,18,STOP,UPTREND
NTNX,2018-04-26,2018-05-29,51.54,51.54,277.6369,0.0,0.0,33,STOP,UPTREND
PENG,2018-05-29,2018-06-08,22.525,22.525,635.1694,0.0,0.0,10,STOP,UPTREND
CZR,2018-05-30,2018-06-18,45.0,41.4,318.3922,-1146.21,-1.0,19,STOP,UPTREND
NSC,2018-06-14,2018-06-20,132.3957,129.1638,108.6243,-351.06,-0.305,6,F3_FAIL,UPTREND
PEN,2018-05-15,2018-06-21,149.8,149.8,96.2103,0.0,0.0,37,STOP,UPTREND
INTC,2018-05-31,2018-06-25,47.3234,43.5375,303.3751,-1148.54,-1.0,25,STOP,UPTREND
APTV,2018-06-07,2018-06-28,99.6824,91.7078,148.0891,-1180.95,-1.0,21,STOP,UPTREND
DECK,2018-06-22,2018-07-09,20.3917,18.7603,684.8064,-1117.15,-1.0,17,STOP,UPTREND
HCC,2018-06-28,2018-07-13,19.8835,19.8835,682.4725,0.0,0.0,15,STOP,UPTREND
MSGS,2018-08-07,2018-08-15,215.2986,211.1152,66.2464,-277.13,-0.243,8,F3_FAIL,UPTREND
DRI,2018-08-16,2018-09-21,91.3493,91.3493,155.6922,0.0,0.0,36,STOP,UPTREND
NGVT,2018-08-08,2018-10-10,100.08,92.0736,142.7386,-1142.82,-1.0,63,STOP,UPTREND
QCOM,2018-08-20,2018-10-11,54.5494,54.5494,263.3924,0.0,0.0,52,STOP,UPTREND
CTAS,2018-05-07,2018-10-16,40.5496,43.8441,351.9595,1159.53,1.016,162,F4_FAIL,UPTREND
AZO,2018-08-07,2018-10-17,728.48,728.48,19.5788,0.0,0.0,71,STOP,UPTREND
CF,2018-06-13,2018-11-14,35.9328,37.6304,403.1798,684.45,0.591,154,F4_FAIL,UPTREND
OLLI,2018-11-01,2018-11-15,93.65,86.158,148.2027,-1110.33,-1.0,14,STOP,UPTREND
VST,2018-11-13,2018-11-20,21.1707,19.477,667.2905,-1130.16,-1.0,7,STOP,UPTREND
ORLY,2018-06-22,2018-12-31,19.2227,22.9553,726.4519,2711.6,2.427,192,F4_FAIL,UPTREND
LSCC,2019-02-13,2019-02-13,9.35,9.35,1540.6755,0.0,0.0,0,STOP,UPTREND
WDAY,2019-01-31,2019-03-04,180.5,180.5,75.2907,0.0,0.0,32,STOP,UPTREND
INCY,2019-02-19,2019-03-15,84.25,84.8,170.4725,93.76,0.082,24,F3_FAIL,UPTREND
VST,2019-02-06,2019-03-20,21.5214,22.0035,646.1214,311.48,0.28,42,F3_FAIL,UPTREND
KTOS,2019-01-30,2019-03-27,15.32,15.32,889.5411,0.0,0.0,56,STOP,UPTREND
NEO,2019-04-01,2019-04-17,21.1,19.412,685.9065,-1157.81,-1.0,16,STOP,UPTREND
CRM,2019-02-11,2019-04-18,156.3009,154.1174,90.0456,-196.61,-0.175,66,F3_FAIL,UPTREND
ZBRA,2019-03-20,2019-04-30,213.04,213.04,67.6362,0.0,0.0,41,STOP,UPTREND
AMD,2019-05-01,2019-05-02,28.95,26.634,504.6908,-1168.86,-1.0,1,STOP,UPTREND
CLH,2019-04-18,2019-05-23,72.26,66.4792,199.2733,-1151.96,-1.0,35,STOP,UPTREND
PAYX,2019-05-24,2019-06-28,70.8617,67.4206,202.8607,-698.06,-0.607,35,F3_FAIL,UPTREND
LII,2019-02-01,2019-07-24,210.7421,240.5741,64.8013,1933.15,1.769,173,F3_FAIL,UPTREND
WING,2019-07-25,2019-09-09,85.8836,85.8836,179.4826,0.0,0.0,46,STOP,UPTREND
RNG,2019-02-01,2019-09-12,92.3648,127.1327,147.8524,5140.51,4.705,223,F3_FAIL,UPTREND
FICO,2019-04-01,2019-10-01,273.78,303.28,52.8622,1559.44,1.347,183,F4_FAIL,UPTREND
BAH,2019-05-03,2019-10-22,52.8754,60.6395,270.6775,2101.57,1.835,172,F3_FAIL,UPTREND
AMT,2019-10-21,2019-10-28,193.4012,177.9291,82.0458,-1269.42,-1.0,7,STOP,UPTREND
CTRE,2019-10-24,2019-10-29,17.8985,17.2191,866.239,-588.53,-0.474,5,F3_FAIL,UPTREND
CMG,2019-03-07,2019-11-05,12.2884,14.8152,1143.0662,2888.3,2.57,243,F4_FAIL,UPTREND
DE,2019-11-04,2019-11-19,162.9994,159.2396,94.0987,-353.79,-0.288,15,F3_FAIL,UPTREND
AMKR,2019-11-01,2019-12-03,11.6731,10.7392,1308.9609,-1222.37,-1.0,32,STOP,UPTREND
BLMN,2019-11-27,2019-12-03,19.8535,19.603,796.9249,-199.6,-0.158,6,F3_FAIL,UPTREND
BCO,2019-11-26,2019-12-05,85.7784,84.4011,183.2195,-252.36,-0.201,9,F3_FAIL,UPTREND
SNPS,2019-05-02,2019-12-06,120.0,134.21,118.4862,1683.69,1.48,218,F4_FAIL,UPTREND
SYF,2019-12-06,2020-01-15,32.4929,30.1622,476.1666,-1109.81,-0.897,40,F3_FAIL,UPTREND
BAC,2019-12-09,2020-01-17,28.7509,29.7894,539.6602,560.42,0.451,39,F3_FAIL,UPTREND
VAC,2019-12-18,2020-01-23,108.7248,107.395,143.3711,-190.65,-0.153,36,F3_FAIL,UPTREND
STT,2019-12-09,2020-01-24,62.9532,64.5523,246.4644,394.11,0.318,46,F3_FAIL,UPTREND
WDC,2020-01-24,2020-01-27,53.2718,49.01,300.0725,-1278.83,-1.0,3,STOP,UPTREND
MANH,2020-01-29,2020-02-05,87.32,80.3344,179.6158,-1254.72,-1.0,7,STOP,UPTREND
PFGC,2020-01-29,2020-02-10,52.54,53.99,298.5164,432.85,0.345,12,F3_FAIL,UPTREND
AMP,2019-12-09,2020-02-24,148.036,148.036,104.8105,0.0,0.0,77,STOP,UPTREND
ADSK,2020-01-16,2020-02-24,192.51,192.51,82.1853,0.0,0.0,39,STOP,UPTREND
LGIH,2020-02-07,2020-02-25,87.63,87.63,181.6037,0.0,0.0,18,STOP,UPTREND
FBIN,2019-11-26,2020-02-27,49.8298,49.8298,315.3993,0.0,0.0,93,STOP,UPTREND
CWEN,2020-02-20,2020-02-27,16.8419,15.4945,993.6017,-1338.73,-1.0,7,STOP,UPTREND
CSGP,2020-01-24,2020-02-28,65.016,65.016,245.8687,0.0,0.0,35,STOP,UPTREND
GSHD,2020-02-27,2020-03-09,50.919,50.919,296.676,0.0,0.0,11,STOP,UPTREND
CWEN,2020-03-02,2020-03-10,15.4837,15.4837,974.538,0.0,0.0,8,STOP,UPTREND
PODD,2019-07-12,2020-03-18,123.72,123.72,124.8346,0.0,0.0,250,STOP,UPTREND
NOW,2020-05-21,2020-05-27,78.104,71.8557,179.7373,-1123.06,-1.0,6,STOP,UPTREND
MOH,2020-05-05,2020-06-04,178.31,178.31,78.9982,0.0,0.0,30,STOP,UPTREND
KNX,2020-06-02,2020-06-10,38.4639,38.268,365.9913,-71.66,-0.064,8,F3_FAIL,UPTREND
RVTY,2020-06-09,2020-06-11,103.5417,95.2584,136.9016,-1134.0,-1.0,2,STOP,UPTREND
TMO,2020-05-18,2020-06-15,342.5616,335.7134,41.2097,-282.21,-0.25,28,F3_FAIL,UPTREND
GOOGL,2020-06-11,2020-06-17,71.4609,72.0317,200.4201,114.4,0.1,6,F3_FAIL,UPTREND
DG,2020-05-28,2020-06-18,171.1193,176.0137,81.3187,398.0,0.358,21,F3_FAIL,UPTREND
ALRM,2020-07-10,2020-08-03,70.33,64.7036,224.0589,-1260.64,-1.0,24,STOP,UPTREND
TECH,2020-07-06,2020-08-06,66.6266,65.0263,226.0712,-361.78,-0.3,31,F3_FAIL,UPTREND
SNX,2020-08-07,2020-09-09,59.8296,58.64,280.7064,-333.92,-0.249,33,F3_FAIL,UPTREND
EBAY,2020-05-29,2020-09-18,40.2159,44.2591,347.0593,1403.21,1.257,112,F3_FAIL,UPTREND
KKR,2020-08-04,2020-09-24,34.6842,31.9095,487.0475,-1351.43,-1.0,51,STOP,UPTREND
NSC,2020-09-21,2020-10-15,194.0603,195.9812,82.2734,158.04,0.124,24,F3_FAIL,UPTREND
PBI,2020-10-20,2020-10-20,5.255,5.255,3322.0341,0.0,0.0,0,STOP,UPTREND
AAPL,2020-05-26,2020-11-10,78.3776,112.7857,179.5657,6178.52,5.488,168,F4_FAIL,UPTREND
DOCU,2020-06-11,2020-11-17,145.0,211.91,98.7738,6608.95,5.768,159,F4_FAIL,UPTREND
FIVE,2020-12-03,2020-12-07,160.0,163.37,115.8732,390.49,0.263,4,F3_FAIL,UPTREND
AHCO,2020-12-04,2020-12-15,35.08,35.08,533.6123,0.0,0.0,11,STOP,UPTREND
RCUS,2020-12-16,2020-12-28,31.38,28.8696,645.2408,-1619.81,-1.0,12,STOP,UPTREND
RCUS,2020-12-29,2020-12-31,28.79,26.4868,715.1999,-1647.25,-1.0,2,STOP,UPTREND
AHCO,2020-12-16,2021-01-05,35.0,35.0,578.5044,0.0,0.0,20,STOP,UPTREND
SAM,2020-07-08,2021-01-14,582.2,910.71,26.2291,8616.51,7.053,190,F3_FAIL,UPTREND
PTC,2021-01-15,2021-03-05,124.73,124.73,176.7879,0.0,0.0,49,STOP,UPTREND
RCUS,2021-01-07,2021-03-09,28.92,32.38,700.5676,2423.96,1.496,61,F3_FAIL,UPTREND
CDNS,2020-06-19,2021-03-12,94.98,125.74,151.1267,4648.66,4.048,266,F3_FAIL,UPTREND
LQDT,2020-12-07,2021-04-16,10.08,17.77,1844.8757,14187.1,9.536,130,F4_FAIL,UPTREND
KBH,2021-04-19,2021-04-20,46.2894,42.5863,476.7833,-1765.6,-1.0,1,STOP,UPTREND
UPWK,2021-01-05,2021-04-29,33.15,46.69,607.381,8223.94,5.106,114,F4_FAIL,UPTREND
LSCC,2021-04-22,2021-04-30,54.53,50.1676,391.7199,-1708.84,-1.0,8,STOP,UPTREND
PINS,2020-09-10,2021-05-04,36.0,62.3,454.8911,11963.64,9.132,236,F4_FAIL,UPTREND
TT,2021-04-30,2021-05-04,164.2334,164.1957,127.9601,-4.82,-0.003,4,F3_FAIL,UPTREND
SBH,2021-05-13,2021-05-26,22.53,21.62,909.4605,-827.61,-0.505,13,F3_FAIL,UPTREND
ADNT,2021-04-27,2021-06-09,48.64,48.64,450.2369,0.0,0.0,43,STOP,UPTREND
VVV,2021-06-09,2021-06-14,33.4095,33.1066,619.2337,-187.53,-0.113,5,F3_FAIL,UPTREND
CC,2021-06-03,2021-06-17,31.2746,28.7726,663.3541,-1659.69,-1.0,14,STOP,UPTREND
PANW,2021-06-28,2021-07-02,63.2583,62.1367,320.9506,-360.0,-0.222,4,F3_FAIL,UPTREND
STAA,2021-06-24,2021-07-06,155.0,142.6,131.1947,-1626.81,-1.0,12,STOP,UPTREND
AMN,2021-07-16,2021-08-10,96.92,105.0,209.1671,1690.07,1.042,25,F3_FAIL,UPTREND
TT,2021-05-06,2021-08-11,169.3081,182.2657,121.525,1574.68,0.957,97,F3_FAIL,UPTREND
VICR,2021-08-24,2021-08-27,123.0,122.84,174.0428,-27.85,-0.016,3,F3_FAIL,UPTREND
HOLX,2021-08-31,2021-09-13,79.61,78.5,275.9949,-306.35,-0.174,13,F3_FAIL,UPTREND
NOW,2021-08-10,2021-09-23,117.6,132.844,177.0752,2699.33,1.62,44,F3_FAIL,UPTREND
SNPS,2021-08-10,2021-09-28,292.82,301.93,71.1155,647.86,0.389,49,F3_FAIL,UPTREND
CDNS,2021-08-13,2021-09-28,152.32,152.32,136.3311,0.0,0.0,46,STOP,UPTREND
JHG,2021-09-17,2021-10-01,34.4079,33.8649,641.1798,-348.12,-0.197,14,F3_FAIL,UPTREND
SYNA,2021-08-24,2021-10-04,174.5,174.5,122.6777,0.0,0.0,41,STOP,UPTREND
PARR,2021-10-26,2021-10-27,17.09,15.7228,1292.7452,-1767.44,-1.0,1,STOP,UPTREND
RRR,2021-10-14,2021-11-03,45.4154,41.7821,473.5739,-1720.6,-1.0,20,STOP,UPTREND
EOG,2021-11-08,2021-11-19,77.4956,71.2959,292.2741,-1812.0,-1.0,11,STOP,UPTREND
DFIN,2021-11-12,2021-11-19,50.85,46.782,441.6747,-1796.73,-1.0,7,STOP,UPTREND
DFIN,2021-11-24,2021-12-13,47.51,43.7092,457.293,-1738.08,-1.0,19,STOP,UPTREND
PENG,2022-01-03,2022-01-05,36.18,33.2856,618.0275,-1788.82,-1.0,2,STOP,UPTREND
EPAM,2021-07-12,2022-01-10,536.82,536.82,37.7007,0.0,0.0,182,STOP,UPTREND
TER,2021-11-30,2022-01-10,151.1699,151.1699,144.1806,0.0,0.0,41,STOP,UPTREND
ARCB,2021-09-16,2022-01-28,70.0748,83.9386,313.2293,4342.57,2.473,134,F4_FAIL,UPTREND
RRR,2022-02-28,2022-03-04,42.1885,38.8134,475.0307,-1603.27,-1.0,4,STOP,UPTREND
TALO,2022-03-23,2022-04-06,15.91,17.37,1247.0405,1820.68,1.147,14,F4_FAIL,UPTREND
CARG,2022-04-01,2022-04-20,42.82,39.3944,462.9077,-1585.74,-1.0,19,STOP,UPTREND
NUE,2022-04-13,2022-04-25,150.0354,150.0354,132.8912,0.0,0.0,12,STOP,UPTREND
QLYS,2022-04-20,2022-04-29,147.37,135.5804,136.4535,-1608.73,-1.0,9,STOP,UPTREND
CC,2022-05-20,2022-06-13,36.571,33.6453,537.8227,-1573.5,-1.0,24,STOP,UPTREND
