date,equity
2016-05-26,100000.0
2016-05-27,100024.74516217367
2016-05-31,99777.9598526949
2016-06-01,99743.53016421768
2016-06-02,99531.37180995574
2016-06-03,99232.09140017719
2016-06-06,99282.30327196105
2016-06-07,99446.15005845382
2016-06-08,100211.24681088512
2016-06-09,100090.51909705752
2016-06-10,98487.99503832278
2016-06-13,97232.24376030634
2016-06-14,96990.82830364344
2016-06-15,96977.1699623454
2016-06-16,97184.83692394837
2016-06-17,96768.96356523887
2016-06-20,97980.87265960088
2016-06-21,98121.31664119744
2016-06-22,98054.30093158978
2016-06-23,99284.86593442905
2016-06-24,97318.59905807205
2016-06-27,94879.87035080724
2016-06-28,95734.89251369331
2016-06-29,97751.23452732935
2016-06-30,99614.86636435175
2016-07-01,99692.0726124738
2016-07-05,99207.02787442996
2016-07-06,100751.98570757904
2016-07-07,100948.30521489978
2016-07-08,102478.73139302453
2016-07-11,103158.0086554641
2016-07-12,103833.10724825622
2016-07-13,103675.88806443909
2016-07-14,103672.17232944099
2016-07-15,103955.30272652912
2016-07-18,104250.03042582286
2016-07-19,103967.38336042908
2016-07-20,104704.85358104276
2016-07-21,103997.67921206786
2016-07-22,104635.12774736273
2016-07-25,104960.4617317529
2016-07-26,105231.78440737166
2016-07-27,104788.46624660846
2016-07-28,106456.72887657786
2016-07-29,106191.24148677147
2016-08-01,105103.12948396246
2016-08-02,104594.18055906426
2016-08-03,104988.5939885521
2016-08-04,105329.76999170652
2016-08-05,105568.23053614289
2016-08-08,105292.74500293139
2016-08-09,106039.45166975948
2016-08-10,106781.1992085694
2016-08-11,106826.30131771028
2016-08-12,106213.59882433628
2016-08-15,106939.4148814542
2016-08-16,106005.83904210188
2016-08-17,105407.64823605769
2016-08-18,106051.76771051377
2016-08-19,105860.68576062322
2016-08-22,106681.79083545344
2016-08-23,106312.71128053148
2016-08-24,104119.6384729119
2016-08-25,103482.42037951949
2016-08-26,103717.60292263332
2016-08-29,104263.96147145284
2016-08-30,104128.20283083938
2016-08-31,103984.26586518344
2016-09-01,104429.56943587035
2016-09-02,105068.71964820765
2016-09-06,105681.30561250105
2016-09-07,106600.61386842557
2016-09-08,106561.87373103885
2016-09-09,102433.1727184727
2016-09-12,102636.49643674142
2016-09-13,101332.09189295516
2016-09-14,101986.93690553721
2016-09-15,103788.35833700467
2016-09-16,104020.80494043366
2016-09-19,104677.14200437543
2016-09-20,104244.154937973
2016-09-21,106228.701216968
2016-09-22,107380.18854385293
2016-09-23,107382.1689472252
2016-09-26,106877.96090276129
2016-09-27,107890.59348730142
2016-09-28,108298.41805582026
2016-09-29,106605.54585887401
2016-09-30,107595.84099374615
2016-10-03,107381.9517387956
2016-10-04,106725.94031380049
2016-10-05,107777.01124988281
2016-10-06,107790.16880546913
2016-10-07,107351.41337447769
2016-10-10,109215.89852855876
2016-10-11,106288.67752834171
2016-10-12,106122.94034755757
2016-10-13,104119.78637218969
2016-10-14,103888.45502962875
2016-10-17,103482.09670840703
2016-10-18,103904.72853912185
2016-10-19,105089.29094336639
2016-10-20,104716.97363501415
2016-10-21,105290.2018415032
2016-10-24,104949.27360540922
2016-10-25,103594.16035552126
2016-10-26,102848.8032676758
2016-10-27,100540.82376628279
2016-10-28,100272.54934530113
2016-10-31,100520.85612884036
2016-11-01,99934.76941276522
2016-11-02,99574.79440636744
2016-11-03,99812.71120203462
2016-11-04,100264.32837809323
2016-11-07,102824.93541544501
2016-11-08,103000.553367021
2016-11-09,106221.78377465098
2016-11-10,108011.26633531353
2016-11-11,108145.0827040597
2016-11-14,109183.73371784334
2016-11-15,109013.59791420275
2016-11-16,109089.005047427
2016-11-17,109652.74027741165
2016-11-18,109510.61998610254
2016-11-21,109603.51178668698
2016-11-22,110234.87481626183
2016-11-23,110468.19255470025
2016-11-25,110330.553715637
2016-11-28,109542.67566641807
2016-11-29,109387.21141193084
2016-11-30,110830.64560852219
2016-12-01,110986.80493299315
2016-12-02,111923.77424104995
2016-12-05,113268.43382019519
2016-12-06,114222.02518660609
2016-12-07,115743.52378678333
2016-12-08,115628.15880375999
2016-12-09,114553.94177002166
2016-12-12,113504.80995076809
2016-12-13,113281.26758659526
2016-12-14,112791.98799695792
2016-12-15,112784.50748527552
2016-12-16,111608.47421181234
2016-12-19,112579.85136059843
2016-12-20,113908.77933692647
2016-12-21,113902.97204255495
2016-12-22,113283.23645749403
2016-12-23,113678.34899689017
2016-12-27,114569.01514207774
2016-12-28,112982.12125899579
2016-12-29,112850.57814420013
2016-12-30,111932.51025708203
2017-01-03,112468.22771303871
2017-01-04,114400.17370357134
2017-01-05,113907.36327521071
2017-01-06,112775.41441714892
2017-01-09,111977.43962570828
2017-01-10,113144.00014439668
2017-01-11,113075.29361965894
2017-01-12,111932.70244316751
2017-01-13,112569.61167146942
2017-01-17,110291.19350304853
2017-01-18,111798.37247111982
2017-01-19,110674.84690101095
2017-01-20,110998.24991313627
2017-01-23,110722.43644896781
2017-01-24,112780.46584169424
2017-01-25,113986.68737441099
2017-01-26,113353.68225789288
2017-01-27,113146.44849293206
2017-01-30,111621.42399271512
2017-01-31,110608.76841997355
2017-02-01,112870.99413134433
2017-02-02,112151.58968575056
2017-02-03,113761.10704235881
2017-02-06,112239.4461177187
2017-02-07,111120.91718864461
2017-02-08,111445.75295319161
2017-02-09,112206.6462371218
2017-02-10,112738.40382230602
2017-02-13,112626.0621941385
2017-02-14,112454.12485812065
2017-02-15,112191.32795474892
2017-02-16,110888.41976530977
2017-02-17,111175.33759756616
2017-02-21,113499.9059428295
2017-02-22,112684.47971434696
2017-02-23,110923.74028811956
2017-02-24,110013.37673920786
2017-02-27,110229.49072427907
2017-02-28,109530.69793819799
2017-03-01,111922.1242046545
2017-03-02,111486.81674925689
2017-03-03,110962.53602270683
2017-03-06,110613.99215482052
2017-03-07,108887.06641845044
2017-03-08,109050.05191994447
2017-03-09,108551.10400423917
2017-03-10,108727.93567319351
2017-03-13,108776.34563066371
