ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason
ANGI,2016-06-10,2016-06-13,88.4,81.328,141.5307,-1000.91,-1.0,3,STOP
MAS,2016-05-27,2016-06-27,27.946,25.7103,447.2914,-1000.0,-1.0,31,STOP
ROCK,2016-06-14,2016-07-12,30.65,35.554,396.5426,1944.64,2.0,28,TARGET_2R
YELP,2016-07-13,2016-08-10,29.49,34.2084,440.12,2076.66,2.0,28,TARGET_2R
LULU,2016-06-28,2016-08-15,69.41,80.5156,170.8685,1897.6,2.0,48,TARGET_2R
MLM,2016-05-27,2016-08-17,177.4936,177.4936,70.4251,0.0,0.0,82,STOP
BSX,2016-05-27,2016-08-22,22.6,24.12,553.0973,840.71,0.841,87,TIMEOUT
VMC,2016-05-27,2016-08-22,109.5974,109.5185,114.0538,-9.0,-0.009,87,TIMEOUT
RGLD,2016-08-18,2016-08-24,74.7109,68.734,176.3593,-1054.08,-1.0,6,STOP
DLTR,2016-08-11,2016-08-25,99.0,91.08,134.8247,-1067.81,-1.0,14,STOP
IFF,2016-06-03,2016-08-26,101.2417,107.9666,122.8883,826.41,0.83,84,TIMEOUT
LH,2016-06-03,2016-08-26,106.2345,111.3673,117.1129,601.13,0.604,84,TIMEOUT
CYTK,2016-08-17,2016-09-01,11.99,11.99,1105.1485,0.0,0.0,15,STOP
ROCK,2016-09-02,2016-09-09,38.95,35.834,335.1398,-1044.3,-1.0,7,STOP
PODD,2016-08-23,2016-09-12,43.94,40.4248,303.4871,-1066.82,-1.0,20,STOP
CRUS,2016-08-29,2016-09-12,51.47,47.3524,251.8885,-1037.18,-1.0,14,STOP
SSTK,2016-08-26,2016-09-13,45.7286,45.7286,282.8712,0.0,0.0,18,STOP
LITE,2016-08-29,2016-09-15,33.83,39.2428,383.2309,2074.35,2.0,17,TARGET_2R
ETSY,2016-08-23,2016-09-30,14.11,14.11,945.0903,0.0,0.0,38,STOP
STRL,2016-09-12,2016-10-05,6.98,8.0968,1834.405,2048.66,2.0,23,TARGET_2R
STAA,2016-09-13,2016-10-10,8.87,10.2892,1446.3993,2052.73,2.0,27,TARGET_2R
STX,2016-09-16,2016-10-13,24.6773,22.7031,525.7278,-1037.88,-1.0,27,STOP
BOX,2016-10-11,2016-10-19,15.69,14.4348,870.1076,-1092.16,-1.0,8,STOP
IIIN,2016-10-06,2016-10-20,23.1092,21.2605,582.9769,-1077.77,-1.0,14,STOP
GNW,2016-10-14,2016-10-24,5.12,4.7104,2541.987,-1041.2,-1.0,10,STOP
