ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
8926,2011-08-01,2011-08-08,8.2556,8.0694,1514.1148,-281.96,-1.0,7,STOP,CHOPPY
2450,2012-03-29,2012-03-30,70.1339,64.7587,177.728,-955.33,-1.0,1,STOP,UPTREND
9941,2012-08-01,2012-08-01,20.8248,20.3991,592.8202,-252.31,-1.0,0,STOP,CHOPPY
1736,2012-08-07,2012-08-23,40.6199,37.511,302.9909,-941.98,-1.0,16,STOP,CHOPPY
2886,2012-08-01,2012-08-28,11.3765,11.0605,1085.1599,-342.93,-1.0,27,STOP,CHOPPY
2330,2012-10-02,2012-10-08,62.2289,62.1592,97.649,-6.81,-0.049,6,MA5_BREAK_HALF,UPTREND
2330,2012-10-02,2012-10-09,62.2289,60.7639,97.649,-143.06,-1.024,7,MA10_BREAK,UPTREND
6199,2013-01-15,2013-01-16,36.6774,34.9309,165.4212,-288.92,-0.839,1,MA5_BREAK_HALF,UPTREND
6199,2013-01-15,2013-01-17,36.6774,34.534,165.4212,-354.58,-1.029,2,MA10_BREAK,UPTREND
3131,2013-02-19,2013-03-11,107.9163,161.0313,55.8489,2966.42,5.269,20,MA5_BREAK_HALF,UPTREND
3131,2013-02-19,2013-03-13,107.9163,156.2538,55.8489,2699.6,4.795,22,MA10_BREAK,UPTREND
2408,2013-03-08,2013-03-13,22.9343,21.5009,285.1217,-408.69,-0.961,5,MA5_BREAK_HALF,UPTREND
2408,2013-03-08,2013-03-15,22.9343,20.3791,285.1217,-728.54,-1.712,7,MA10_BREAK,UPTREND
3564,2013-03-07,2013-04-02,20.4975,29.202,314.9971,2741.87,15.373,26,MA5_BREAK_HALF,UPTREND
5521,2013-03-25,2013-04-02,9.6989,9.738,679.0935,26.56,0.194,8,MA5_BREAK_HALF,CHOPPY
5521,2013-03-25,2013-04-03,9.6989,9.6989,679.0935,-0.0,-0.0,9,MA10_BREAK,CHOPPY
3564,2013-03-07,2013-04-08,20.4975,28.3596,314.9971,2476.53,13.885,32,MA10_BREAK,UPTREND
9906,2013-03-29,2013-04-26,13.3879,15.3256,998.6436,1935.09,2.214,28,MA10_BREAK,UPTREND
1456,2013-05-06,2013-05-10,14.4896,14.4896,466.4584,0.0,0.0,4,MA5_BREAK_HALF,UPTREND
1456,2013-05-06,2013-05-13,14.4896,13.7134,466.4584,-362.08,-2.028,7,MA10_BREAK,UPTREND
2424,2013-08-09,2013-08-26,54.5,51.9612,247.1993,-627.59,-1.0,17,STOP,CHOPPY
4907,2013-08-15,2013-09-06,12.6483,12.9889,531.1495,180.87,0.636,22,MA5_BREAK_HALF,CHOPPY
2424,2013-09-02,2013-09-11,56.5,56.3333,118.8732,-19.81,-0.044,9,MA5_BREAK_HALF,UPTREND
4907,2013-08-15,2013-09-16,12.6483,13.0862,531.1495,232.55,0.818,32,MA10_BREAK,CHOPPY
3437,2013-09-11,2013-09-27,44.9231,48.7781,150.2936,579.39,1.63,16,MA5_BREAK_HALF,UPTREND
