ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
2450,2012-03-29,2012-03-30,70.1339,64.7587,178.2305,-958.03,-1.0,1,STOP,UPTREND
9941,2012-08-01,2012-08-01,20.8248,20.3991,594.4964,-253.03,-1.0,0,STOP,CHOPPY
2886,2012-08-01,2012-08-28,11.3765,11.0605,1088.2282,-343.9,-1.0,27,STOP,CHOPPY
6199,2013-01-15,2013-01-16,36.6774,34.9309,167.7547,-292.99,-0.839,1,MA5_BREAK_HALF,UPTREND
6199,2013-01-15,2013-01-17,36.6774,34.534,167.7547,-359.58,-1.029,2,MA10_BREAK,UPTREND
2408,2013-03-08,2013-03-13,22.9343,21.5009,266.5016,-382.0,-0.961,5,MA5_BREAK_HALF,UPTREND
2408,2013-03-08,2013-03-15,22.9343,20.3791,266.5016,-680.96,-1.712,7,MA10_BREAK,UPTREND
3564,2013-03-07,2013-04-02,20.4975,29.202,298.1834,2595.52,15.373,26,MA5_BREAK_HALF,UPTREND
3564,2013-03-07,2013-04-08,20.4975,28.3596,298.1834,2344.34,13.885,32,MA10_BREAK,UPTREND
9906,2013-03-29,2013-04-26,13.3879,15.3256,954.7387,1850.02,2.214,28,MA10_BREAK,UPTREND
1456,2013-05-08,2013-05-10,15.0071,14.4896,431.1262,-223.1,-1.305,2,MA5_BREAK_HALF,UPTREND
1456,2013-05-08,2013-05-13,15.0071,13.7134,431.1262,-557.75,-3.264,5,MA10_BREAK,UPTREND
2424,2013-08-09,2013-08-26,54.5,51.9612,235.6388,-598.24,-1.0,17,STOP,CHOPPY
4907,2013-08-15,2013-09-06,12.6483,12.9889,506.3098,172.41,0.636,22,MA5_BREAK_HALF,CHOPPY
4907,2013-08-15,2013-09-16,12.6483,13.0862,506.3098,221.68,0.818,32,MA10_BREAK,CHOPPY
3437,2013-09-11,2013-09-27,44.9231,48.7781,142.687,550.06,1.63,16,MA5_BREAK_HALF,UPTREND
3437,2013-09-11,2013-10-07,44.9231,48.6208,142.687,527.61,1.564,26,MA10_BREAK,UPTREND
3684,2013-10-08,2013-10-08,11.5418,11.5418,561.0685,0.0,0.0,0,MA5_BREAK_HALF,UPTREND
3684,2013-10-08,2013-10-23,11.5418,12.5098,561.0685,543.13,5.293,15,MA10_BREAK,UPTREND
1472,2013-11-01,2013-11-05,109.2812,103.0848,119.1367,-738.21,-1.0,4,STOP,UPTREND
3466,2013-11-04,2013-11-05,24.3497,23.8056,535.7543,-291.52,-1.0,1,STOP,UPTREND
3466,2013-11-06,2013-11-07,23.3208,23.5781,276.3769,71.09,0.494,1,MA5_BREAK_HALF,UPTREND
3466,2013-11-06,2013-11-08,23.3208,23.7924,276.3769,130.33,0.905,2,MA10_BREAK,UPTREND
3466,2013-11-11,2013-11-12,24.0067,23.4703,538.0096,-288.62,-1.0,1,STOP,CHOPPY
2614,2013-12-06,2013-12-06,23.1313,22.2152,278.1078,-254.77,-3.887,0,MA5_BREAK_HALF,UPTREND
2614,2013-12-06,2013-12-09,23.1313,22.4442,278.1078,-191.08,-2.915,3,MA10_BREAK,UPTREND
8933,2013-12-05,2013-12-11,20.7439,19.626,620.8941,-694.12,-1.0,6,STOP,UPTREND
1519,2013-12-23,2014-01-24,11.0848,10.6363,1149.0778,-515.38,-1.0,32,STOP,UPTREND
5205,2014-03-10,2014-03-18,67.875,76.875,93.3544,840.19,3.42,8,MA5_BREAK_HALF,UPTREND
5205,2014-03-10,2014-03-20,67.875,73.75,93.3544,548.46,2.232,10,MA10_BREAK,UPTREND
8084,2014-04-07,2014-04-10,26.8627,25.5836,478.2252,-611.74,-1.0,3,STOP,UPTREND
3097,2014-05-06,2014-05-16,11.4536,12.0934,557.4636,356.64,1.536,10,MA5_BREAK_HALF,UPTREND
3097,2014-05-06,2014-05-21,11.4536,12.0934,557.4636,356.64,1.536,15,MA10_BREAK,UPTREND
5205,2014-05-28,2014-06-04,67.75,64.4928,189.8027,-618.23,-1.0,7,STOP,UPTREND
5603,2014-08-06,2014-08-07,6.8921,6.6867,1854.5543,-381.03,-1.0,1,STOP,CHOPPY
5603,2014-08-12,2014-08-22,6.7822,8.0836,938.8027,1221.8,6.437,10,MA5_BREAK_HALF,CHOPPY
2312,2014-09-01,2014-09-04,11.6792,11.7964,562.8465,65.96,0.224,3,MA5_BREAK_HALF,UPTREND
5603,2014-08-12,2014-09-05,6.7822,8.8818,938.8027,1971.12,10.385,24,MA10_BREAK,CHOPPY
