ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
8926,2011-08-01,2011-08-08,8.2556,8.0694,1514.1148,-281.96,-1.0,7,STOP,CHOPPY
2450,2012-03-29,2012-03-30,70.1339,64.7587,177.728,-955.33,-1.0,1,STOP,UPTREND
9941,2012-08-01,2012-08-01,20.8248,20.3991,592.8202,-252.31,-1.0,0,STOP,CHOPPY
1736,2012-08-07,2012-08-23,40.6199,37.511,302.9909,-941.98,-1.0,16,STOP,CHOPPY
2886,2012-08-01,2012-08-28,11.3765,11.0605,1085.1599,-342.93,-1.0,27,STOP,CHOPPY
2330,2012-10-02,2012-10-08,62.2289,62.1592,97.649,-6.81,-0.049,6,MA5_BREAK_HALF,UPTREND
2330,2012-10-02,2012-10-09,62.2289,61.5136,97.649,-69.85,-0.5,7,STOP,UPTREND
6199,2013-01-15,2013-01-16,36.6774,35.6364,331.0919,-344.69,-0.5,1,STOP,UPTREND
3564,2013-03-07,2013-03-08,20.4975,20.2144,632.4246,-179.05,-0.5,1,STOP,UPTREND
3131,2013-02-19,2013-03-11,107.9163,161.0313,56.0644,2977.86,5.269,20,MA5_BREAK_HALF,UPTREND
3131,2013-02-19,2013-03-13,107.9163,156.2538,56.0644,2710.01,4.795,22,MA10_BREAK,UPTREND
2408,2013-03-08,2013-03-13,22.9343,22.1882,572.4433,-427.13,-0.5,5,STOP,UPTREND
5521,2013-03-25,2013-04-02,9.6989,9.738,656.5558,25.68,0.194,8,MA5_BREAK_HALF,CHOPPY
5521,2013-03-25,2013-04-03,9.6989,9.6989,656.5558,0.0,0.0,9,BE_STOP,CHOPPY
9906,2013-03-29,2013-04-26,13.3879,15.3256,952.7262,1846.12,2.214,28,MA10_BREAK,UPTREND
1456,2013-05-06,2013-05-10,14.4896,14.4896,895.1024,0.0,0.0,4,BE_STOP,UPTREND
2424,2013-08-09,2013-08-26,54.5,51.9612,237.9762,-604.18,-1.0,17,STOP,CHOPPY
4907,2013-08-15,2013-09-06,12.6483,12.9889,511.3321,174.12,0.636,22,MA5_BREAK_HALF,CHOPPY
2424,2013-09-02,2013-09-11,56.5,54.5994,228.876,-435.0,-0.5,9,STOP,UPTREND
4907,2013-08-15,2013-09-16,12.6483,13.0862,511.3321,223.88,0.818,32,MA10_BREAK,CHOPPY
3437,2013-09-11,2013-09-27,44.9231,48.7781,144.6861,557.77,1.63,16,MA5_BREAK_HALF,UPTREND
3437,2013-09-11,2013-10-07,44.9231,48.6208,144.6861,535.01,1.564,26,MA10_BREAK,UPTREND
3684,2013-10-08,2013-10-08,11.5418,11.5418,564.3023,0.0,0.0,0,MA5_BREAK_HALF,UPTREND
3684,2013-10-08,2013-10-23,11.5418,12.5098,564.3023,546.26,5.293,15,MA10_BREAK,UPTREND
2308,2013-10-29,2013-11-05,109.1192,104.0774,120.0013,-605.02,-1.0,7,STOP,UPTREND
1472,2013-11-01,2013-11-05,109.2812,103.0848,119.5817,-740.97,-1.0,4,STOP,UPTREND
